22:45:46  |  Core  |  Info  |  Load ini file 'openmw_dialogue_window.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_scroll.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_debug_window.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_layers.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_pointer.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_settings.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:46:07  |  Core  |  Info  |  * Shutdown: Gui  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  125
22:46:07  |  Core  |  Info  |  * Shutdown: PointerManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  69
22:46:07  |  Core  |  Info  |  PointerManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  86
22:46:07  |  Core  |  Info  |  * Shutdown: InputManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_InputManager.cpp  |  73
22:46:07  |  Core  |  Info  |  InputManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_InputManager.cpp  |  78
22:46:07  |  Core  |  Info  |  * Shutdown: SkinManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  53
22:46:07  |  Core  |  Info  |  SkinManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  60
22:46:07  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  63
22:46:07  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  83
